region,value
СЕРГИЕВСКИЙ,0.0653266332
ИВАНО-ФРАНКОВСКАЯ,0.0222222222
ПЕЧОРСКИЙ,1.0
ХАНТЫ-МАНСИЙСКИЙ,0.0151240832
КРАСНОКАМСКИЙ,0.0073529412
КРЫМ,0.0114942529
БУДА,0.0
ПЕРМСКИЙ,0.0126463407
ОМСКАЯ,0.0152718927
ТАРАСОВСКИЙ,0.0
ТАТЫШЛИНСКИЙ,0.0216450216
ШАРЫПОВСКИЙ,0.0
БАЛТАЧЕВСКИЙ,0.0833333333
КУЮРГАЗИНСКИЙ,0.0212765957
АШИНСКИЙ,0.0
БАКАЛИНСКИЙ,0.0
НЕФТЕГОРСКИЙ,0.0592592593
ЧЕЧЕНСКАЯ,0.0123471036
ЛОГОЙСКИЙ,0.1666666667
БУРАЕВСКИЙ,0.0
МАГАРАМКЕНТСКИЙ,0.0
АНИВСКИЙ,0.1428571429
МАЛГОБЕКСКИЙ,0.0
ФИЛИ-ДАВЫДКОВО,0.0
ЯРОСЛАВСКАЯ,0.0060798548
ПЕЧАТНИКИ,0.1428571429
МИЯКИНСКИЙ,0.0306122449
САРАПУЛЬСКИЙ,0.037037037
АЛТАЙСКИЙ,0.0214329455
ЛЮБИНСКИЙ,0.0
РЯЗАНСКАЯ,0.0137987905
ЕРМЕКЕЕВСКИЙ,0.0454545455
ЧИШМИНСКИЙ,0.0144927536
ВОЛОГОДСКАЯ,0.0062272098
КИНЕЛЬ,0.0
ОКТЯБРЬСКИЙ,0.0512820513
-,0.0357142857
ДУВАНСКИЙ,0.0208333333
КРАСНОСЕЛЬКУПСКИЙ,0.1428571429
МАЙКОВСКИЙ,0.0
ГЕРМАНИЯ,0.0
ЖУКОВСКИЙ,0.25
КАРМАСКАЛИНСКИЙ,0.0091743119
НИЖНЕОМСКИЙ,0.0
ТВЕРСКАЯ,0.0031912897
САХАЛИНСКАЯ,0.0187807235
НОВОЛАКСКИЙ,0.0
ПЕТУХОВСКИЙ,0.25
ИЛИШЕВСКИЙ,0.0
АРХАНГЕЛЬСКИЙ,0.014084507
СЕВАСТОПОЛЬ,0.0
КАБАРДИНО-БАЛКАРСКАЯ,0.0246636771
БУЗДЯКСКИЙ,0.0338983051
ХАКАСИЯ,0.0281786942
ЛИТВА,0.0
ЛИПЕЦКАЯ,0.0215481367
ЛЕНИНГРАДСКАЯ,0.016125275
КИГИНСКИЙ,0.0
ЛОСИНООСТРОВСКИЙ,0.0
ТАРБАГАТАЙСКИЙ,0.0434782609
ХАБАРОВСКИЙ,0.0130190797
ЯНАУЛЬСКИЙ,0.0083432658
СЕВЕРНАЯ,0.0010917031
ЯМАЛО-НЕНЕЦКИЙ,0.0170775171
ГРОЗНЕНСКИЙ,0.0212765957
ЧЕКМАГУШЕВСКИЙ,0.0352941176
ИЖЕМСКИЙ,0.0
КАРЕЛИЯ,0.0055945876
СОЛИГОРСКИЙ,0.0
ЧУКОТСКИЙ,0.0
ЕВРЕЙСКАЯ,0.0004038772
ПРИЛУЗСКИЙ,0.3333333333
КИНЕЛЬСКИЙ,0.0652173913
КИРОВО-ЧЕПЕЦКИЙ,0.0769230769
КНЯЖПОГОСТСКИЙ,0.1111111111
МОРДОВИЯ,0.0010521886
ШАРАНСКИЙ,0.0222222222
ШУМИХИНСКИЙ,0.0
ПСКОВСКАЯ,0.0005367687
НИЖЕГОРОДСКАЯ,0.0108498867
